step,curriculum_stage,operand_digits,prompt,reward_mean,loss,reward_mode,exact_reward_mean,signal_groups,exact_signal_groups,grad_norm,parity_max,parity_p99,parity_mean,parity_tail_tokens,active_completion_tokens,peak_vram_gib,rollout_sha256
0,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2735992 + 9651394 = || Compute the sum. Reply with ONLY the integer, nothing else.
4270411 + 6513006 =",0.5,0.0,exact,0.5,0,0,0.0,4.476425237953663e-05,4.476425237953663e-05,3.176141945004929e-06,0,144,5.820085525512695,490e43e06349005e69e080bef4dc36c79df9a2346ea8dedf9f9d4c6d08a42c50
1,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7755153 + 1669439 = || Compute the sum. Reply with ONLY the integer, nothing else.
5062156 + 7705270 =",0.5625,7.450580596923828e-09,exact,0.5625,1,1,20.854694366455078,0.5434155464172363,0.05033443123102188,0.00658888416364789,1,136,5.967860221862793,70fe93e490156ca6e0a93eb3fa63052780e24bb8f1e3824b3eca716393bc4f38
2,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8180592 + 9505070 = || Compute the sum. Reply with ONLY the integer, nothing else.
4713526 + 6635340 =",1.0,0.0,exact,1.0,0,0,0.0,0.000267774797976017,0.000267774797976017,1.636030174267944e-05,0,144,5.967860221862793,0f6f4935e3e590d5e25e947918203cd81c28192729633aa9d8f63d58ea0cd1b2
3,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5670678 + 6101903 = || Compute the sum. Reply with ONLY the integer, nothing else.
1622526 + 7088320 =",0.1875,-7.450580596923828e-09,exact,0.1875,1,1,14.58271598815918,0.14264261722564697,0.14264261722564697,0.004448940046131611,0,136,5.967860221862793,bbfae6451531592e7d577092965f9ad4f96c8ec0089cc59f1ecb177d2865e59b
4,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5709253 + 5854820 = || Compute the sum. Reply with ONLY the integer, nothing else.
4788064 + 2159789 =",1.0,0.0,exact,1.0,0,0,0.0,6.516557186841965e-05,6.516557186841965e-05,4.5082842916599475e-06,0,136,5.967860221862793,bbc9595fc6c72de5dc2ac0c43104f6c396c7a32c0d5a5e07210822689f631bb0
5,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2563030 + 8556335 = || Compute the sum. Reply with ONLY the integer, nothing else.
6121180 + 5726764 =",1.0,0.0,exact,1.0,0,0,0.0,1.0318384738638997e-05,1.0318384738638997e-05,2.3064596916810842e-06,0,144,5.967860221862793,156cdc6f78ec499a364272782ed4af2da54c36e5e0a5fd8434b0eaa74fbd030f
6,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2486674 + 1311830 = || Compute the sum. Reply with ONLY the integer, nothing else.
6726435 + 1383146 =",1.0,0.0,exact,1.0,0,0,0.0,6.420165300369263e-05,6.420165300369263e-05,5.247455646895105e-06,0,128,5.967860221862793,84c9853c6041de2cab04841faa7613bada4b829e8ceb0ac25780d88857117b50
7,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8957892 + 7353698 = || Compute the sum. Reply with ONLY the integer, nothing else.
1624815 + 5105885 =",0.5,0.0,exact,0.5,0,0,0.0,0.01576709747314453,0.0023965835571289062,0.0001705178729025647,0,136,5.967860221862793,b02767181a219e174f7bb147738c4a7dfac48690ec2917a15e501a7b00fd32f0
8,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
9555089 + 7635850 = || Compute the sum. Reply with ONLY the integer, nothing else.
5615754 + 1954035 =",0.125,0.0,exact,0.125,1,1,4.801978588104248,0.04806697368621826,0.03854895010590553,0.0022056682500988245,0,150,6.516603469848633,8cbb8ac50603043bbd22f42dfab533c2f90611685a12c2158f931525060513b1
9,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7914083 + 3806611 = || Compute the sum. Reply with ONLY the integer, nothing else.
2398646 + 6105976 =",0.375,0.0,exact,0.375,1,1,3.410698890686035,0.028395891189575195,0.024924956262111664,0.0013878514291718602,0,136,6.516603469848633,137dd380c8c2537eb714e72663d95a06ed3f70f29d0c3fb21460ce3fcdd145a4
10,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5341793 + 3732355 = || Compute the sum. Reply with ONLY the integer, nothing else.
5683232 + 3482665 =",1.0,0.0,exact,1.0,0,0,0.0,0.00031126849353313446,0.00031126849353313446,2.1006821043556556e-05,0,128,6.516603469848633,5b786c1d17ad4680bb1a2cceae12844bb93542fe940b3176f897cb3d7764a976
11,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
6406458 + 4342315 = || Compute the sum. Reply with ONLY the integer, nothing else.
2711462 + 3256716 =",1.0,0.0,exact,1.0,0,0,0.0,0.0011387225240468979,0.0011387225240468979,7.015174924163148e-05,0,136,6.516603469848633,aaad31fef8b698726d844e81be290ea938cc2e712c82dbf77e3cbf480ba64f98
12,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
44141527 + 74886836 = || Compute the sum. Reply with ONLY the integer, nothing else.
10715925 + 77397299 =",0.5,1.4901161193847656e-08,exact,0.5,2,2,4.792276859283447,0.03686034679412842,0.02918994426727295,0.0015423933509737253,0,152,6.516603469848633,61c56d5ce0607577e35e6e4f7912d2a2502033ca28a1bc64fe4d601076d40b85
13,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
60752988 + 49841086 = || Compute the sum. Reply with ONLY the integer, nothing else.
30056350 + 23410887 =",1.0,0.0,exact,1.0,0,0,0.0,0.0002755969762802124,0.0002755969762802124,1.632368002901785e-05,0,152,6.516603469848633,29e06fc67b3a3a4541480b1842012cb0598c4664f941b3103ab28b1158c012d1
14,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
27211069 + 46578670 = || Compute the sum. Reply with ONLY the integer, nothing else.
16934684 + 21836933 =",1.0,0.0,exact,1.0,0,0,0.0,8.447584696114063e-05,8.447584696114063e-05,9.434889761905652e-06,0,144,6.516603469848633,bbe6818468c01df09e9d087d3b4340eb8280f0c3e2d857d174fa001d4532879c
15,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
82539973 + 26351484 = || Compute the sum. Reply with ONLY the integer, nothing else.
14550654 + 21623442 =",0.25,0.0,exact,0.25,1,1,6.089909076690674,0.07555460929870605,0.01351464819163084,0.0014268235536292195,0,153,6.516603469848633,1adeb0b435d949d422c61dd027a06e258fd1f12829776b49c490803e33e188f4
16,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
24694357 + 59232762 = || Compute the sum. Reply with ONLY the integer, nothing else.
22227335 + 78708821 =",0.4375,1.4901161193847656e-08,exact,0.4375,2,2,9.347933769226074,0.021438121795654297,0.021438121795654297,0.001665331656113267,0,152,6.516603469848633,52b78f271e9a3b03147f1737da2a043508e5f0a150982acaccbe072da1d1d7eb
17,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
76458924 + 57605179 = || Compute the sum. Reply with ONLY the integer, nothing else.
99476085 + 76972883 =",0.0,0.0,exact,0.0,0,0,0.0,0.21155858039855957,0.11006699502468109,0.005678458604961634,1,159,6.516603469848633,f02163d82f6c0b4ee1f2d87e4bcc5225c2b2f47e3af10833dcef0989cff4aa46
18,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
58206773 + 78577816 = || Compute the sum. Reply with ONLY the integer, nothing else.
73955333 + 72869877 =",0.5625,-2.9802322387695312e-08,exact,0.5625,2,2,7.1840667724609375,0.04919123649597168,0.0280207097530365,0.0011393413878977299,0,160,6.516603469848633,d7af1d818b96708c46083139fac1f32eec2a4dd0518ef96633079d8714418ead
19,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
77567873 + 13506965 = || Compute the sum. Reply with ONLY the integer, nothing else.
89717680 + 32655226 =",0.125,-1.4901161193847656e-08,exact,0.125,1,1,2.9900078773498535,0.04819372296333313,0.04819372296333313,0.002571951597929001,0,152,6.516603469848633,cce39765d697b656e87f077b40dfdd40a1bb3c50ff8a4b1686e618fa0e30786d
20,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
19825745 + 92118163 = || Compute the sum. Reply with ONLY the integer, nothing else.
79994671 + 98949050 =",0.3125,7.450580596923828e-09,exact,0.3125,1,1,9.848589897155762,0.08568882942199707,0.03881382942199707,0.001285573816858232,0,160,6.516603469848633,21246ce903e24206be84370d61999b45146a98b5255cdbf86009bb52d907d896
21,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
44258430 + 54075984 = || Compute the sum. Reply with ONLY the integer, nothing else.
53333470 + 69985485 =",0.9375,-2.2351741790771484e-08,exact,0.9375,1,1,4.646121025085449,0.07635641098022461,0.0017686542123556137,0.0005937626119703054,0,152,6.516603469848633,23413d029eb755a3a9a7391d7f6a2c780df2b74dc43df4fd80820d71f4c6b93c
22,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
17054024 + 64972649 = || Compute the sum. Reply with ONLY the integer, nothing else.
89814793 + 53935831 =",0.0625,2.2351741790771484e-08,exact,0.0625,1,1,4.162632465362549,0.04307913780212402,0.012493306770920753,0.0011099288240075111,0,152,6.516603469848633,38706f56f5ed0d150ee74fca696aa288904b8e34eae5984c71ac286db436623b
23,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
71360373 + 55457385 = || Compute the sum. Reply with ONLY the integer, nothing else.
55538860 + 55835443 =",0.0,0.0,exact,0.0,0,0,0.0,0.004113033413887024,0.004113033413887024,0.0002421733079245314,0,160,6.516603469848633,f77c81dec40af9a755639e53a6c694f6143ea394ac20e3bf0b727dcdde5fe18f
