step,curriculum_stage,operand_digits,prompt,reward_mean,loss,reward_mode,exact_reward_mean,signal_groups,exact_signal_groups,grad_norm,parity_max,parity_p99,parity_mean,parity_tail_tokens,active_completion_tokens,peak_vram_gib,rollout_sha256
0,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2735992 + 9651394 = || Compute the sum. Reply with ONLY the integer, nothing else.
4270411 + 6513006 =",0.999997615814209,0.0,relative_distance,0.5,0,0,0.0,0.0001483734231442213,0.0001483734231442213,8.893152880773414e-06,0,72,4.393625736236572,bbd55cc47f0156c3fa1e53352ad6332261bca3df761fc5cf6ad2eae45f5d2e40
1,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7755153 + 1669439 = || Compute the sum. Reply with ONLY the integer, nothing else.
5062156 + 7705270 =",0.9999997615814209,-0.005330931395292282,relative_distance,0.625,1,1,7.110651016235352,0.4125407934188843,0.1737992912530899,0.008548343554139137,1,68,4.540145397186279,9f4a767f0c52d330e13d754b55298d909ec8d0043f92e12cfae0b9c6b2f801ef
2,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8180592 + 9505070 = || Compute the sum. Reply with ONLY the integer, nothing else.
4713526 + 6635340 =",1.0,0.0,relative_distance,1.0,0,0,0.0,0.00020395778119564056,0.00020395778119564056,1.283427445741836e-05,0,72,4.540145397186279,d6a07953bf5070031daaf23b65e76ee367c23b179e3125f7722fd63296242a5d
3,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5670678 + 6101903 = || Compute the sum. Reply with ONLY the integer, nothing else.
1622526 + 7088320 =",0.9998083114624023,-8.737295866012573e-05,relative_distance,0.125,1,1,12.13077163696289,0.012644410133361816,0.006169648375362158,0.00044437014730647206,0,68,4.540145397186279,a3a569bc464653b503bac442aef38749e24a7ac8ebc0157777ec148ce6321970
4,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5709253 + 5854820 = || Compute the sum. Reply with ONLY the integer, nothing else.
4788064 + 2159789 =",1.0,0.0,relative_distance,1.0,0,0,0.0,2.2572465240955353e-05,2.2572465240955353e-05,2.314581706741592e-06,0,68,4.540145397186279,66af41bca67517cf0826580ca091eef7459573fc5ab33ecb832751e7bc40316f
5,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2563030 + 8556335 = || Compute the sum. Reply with ONLY the integer, nothing else.
6121180 + 5726764 =",1.0,0.0,relative_distance,1.0,0,0,0.0,4.666193854063749e-05,4.666193854063749e-05,4.731113676825771e-06,0,72,4.540145397186279,8f972ad99bd6ec5f081d5cde4133e5e6a6acc7d9499729f7f2724ef8b75faa10
6,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2486674 + 1311830 = || Compute the sum. Reply with ONLY the integer, nothing else.
6726435 + 1383146 =",1.0,0.0,relative_distance,1.0,0,0,0.0,6.357207894325256e-05,6.357207894325256e-05,4.536413143796381e-06,0,64,4.540145397186279,c8fe297a2afebc7864ded6fc7480d88100db328cf12169850be91f7794c008c8
7,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8957892 + 7353698 = || Compute the sum. Reply with ONLY the integer, nothing else.
1624815 + 5105885 =",0.9996081590652466,1.8291175365447998e-05,relative_distance,0.625,1,1,4.627153396606445,0.025395333766937256,0.025395333766937256,0.0013852581614628434,0,68,4.540145397186279,8a013992a44617b4b79b3b9c580b8f9c6c15a6f03afcfbb893979443a577976c
8,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
9555089 + 7635850 = || Compute the sum. Reply with ONLY the integer, nothing else.
5615754 + 1954035 =",0.9999995231628418,0.009206928312778473,relative_distance,0.125,1,1,0.8672787547111511,0.04806649684906006,0.025532472878694534,0.0015202501090243459,0,68,4.540145397186279,0504465c555bd4e13e4e9648f4957631b6c35cf16a9d9dd8f0e8c10a7aee3881
9,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7914083 + 3806611 = || Compute the sum. Reply with ONLY the integer, nothing else.
2398646 + 6105976 =",0.9941197633743286,-0.0014133080840110779,relative_distance,0.375,1,1,2.518484115600586,0.017928004264831543,0.014841986820101738,0.0008653239347040653,0,68,4.540145397186279,92ee2ffa09ed5b9a67a8faee1325c290f3a2d54ed8f849955f2c3c47131f6783
10,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5341793 + 3732355 = || Compute the sum. Reply with ONLY the integer, nothing else.
5683232 + 3482665 =",1.0,0.0,relative_distance,1.0,0,0,0.0,0.0017497837543487549,0.0017497837543487549,0.00011051914043491706,0,64,4.540145397186279,c2c8050c281e957571162f6610c9a2eadf323357c9e2c0430ea16f3716c4579f
11,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
6406458 + 4342315 = || Compute the sum. Reply with ONLY the integer, nothing else.
2711462 + 3256716 =",1.0,0.0,relative_distance,1.0,0,0,0.0,0.0007046619430184364,0.0007046619430184364,4.739678479381837e-05,0,68,4.540145397186279,2325dd7e50fd20c73faedc36ee718e6bfeb82d9a789ba0b1ed42c7e8c8a13738
12,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
44141527 + 74886836 = || Compute the sum. Reply with ONLY the integer, nothing else.
10715925 + 77397299 =",0.999997079372406,-7.450580596923828e-09,relative_distance,0.5,1,0,3.407909393310547,0.0413365364074707,0.014488037675619125,0.0011795265600085258,0,76,4.601423740386963,8e6cf8448a30aa42dda3797b5ecf3fa3252e892fa3b1958eb79b50554c5625a5
13,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
60752988 + 49841086 = || Compute the sum. Reply with ONLY the integer, nothing else.
30056350 + 23410887 =",1.0,0.0,relative_distance,1.0,0,0,0.0,2.0515115465968847e-05,2.0515115465968847e-05,2.4692535589565523e-06,0,76,4.601423740386963,b4ce2d96bd5f696a00a5d6a06b0d5851d188362edd2df4456fb215fa42ffbb29
14,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
27211069 + 46578670 = || Compute the sum. Reply with ONLY the integer, nothing else.
16934684 + 21836933 =",1.0,0.0,relative_distance,1.0,0,0,0.0,5.0389207899570465e-05,5.0389207899570465e-05,4.774542503582779e-06,0,72,4.601423740386963,a61b1ea570bd7e543c680b73d106b8803625406f03400cab0f0412482d231181
15,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
82539973 + 26351484 = || Compute the sum. Reply with ONLY the integer, nothing else.
14550654 + 21623442 =",0.9999998807907104,0.012640808708965778,relative_distance,0.5,1,0,1.90864098072052,0.012431621551513672,0.00777772068977356,0.0006444019381888211,0,76,4.601423740386963,69b8c18b5588461b233a7ca01a4eae1776b5702d6957527a336a1077500e3159
16,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
24694357 + 59232762 = || Compute the sum. Reply with ONLY the integer, nothing else.
22227335 + 78708821 =",0.9996160268783569,-0.014062926173210144,relative_distance,0.125,2,1,3.213541269302368,0.046830058097839355,0.04375240206718445,0.0035792647395282984,0,76,4.601423740386963,23f4fa49a20e3639eaa6cfc8b6e812c6ec33953086082f82fdedbfea04fb37c9
17,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
76458924 + 57605179 = || Compute the sum. Reply with ONLY the integer, nothing else.
99476085 + 76972883 =",0.9999996423721313,0.014405431225895882,relative_distance,0.25,1,1,0.6245322823524475,0.017563164234161377,0.017563164234161377,0.0017536146333441138,0,80,4.601423740386963,f1d5f94edcdeb01d5b84f607234e5f5c32c116b9e26c3101de398d16e43add60
