step,curriculum_stage,operand_digits,prompt,reward_mean,loss,grad_norm,parity_max,parity_p99,parity_mean,peak_vram_gib,rollout_sha256
0,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
34110 + 56528 = || Compute the sum. Reply with ONLY the integer, nothing else.
34620 + 69253 =",0.625,-0.0006667748093605042,12.561572074890137,0.07377147674560547,0.05419996753334999,0.0026752965059131384,2.2567853927612305,185c48c9601649f44f6d5e09210de1534bfb051192c6c048684fb7034a88d44a
1,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
11765 + 68705 = || Compute the sum. Reply with ONLY the integer, nothing else.
45000 + 12735 =",0.0,0.0,0.0,0.0018829060718417168,0.0018829060718417168,0.00027241805219091475,2.3312487602233887,8ec3bf135b759911971eb6383d22b466b6b30ad753641370b7ce356259b4648a
2,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
28412 + 43028 = || Compute the sum. Reply with ONLY the integer, nothing else.
91896 + 67202 =",0.375,-0.001938946545124054,12.882084846496582,0.09962844848632812,0.06856421381235123,0.00762212136760354,2.3312487602233887,cbcf55b5c2c0fccca818c1d4e3a35726ba28c16ee44e96cc1b7b043b307da02c
3,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
45682 + 73036 = || Compute the sum. Reply with ONLY the integer, nothing else.
85798 + 98687 =",0.5,0.0,0.0,0.11575621366500854,0.10873688757419586,0.010434380732476711,2.3312487602233887,3e67219193a312c30d7608a877e1a39a86a7ce5b75a42c775c668676e5739b58
4,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
89929 + 44775 = || Compute the sum. Reply with ONLY the integer, nothing else.
98896 + 41176 =",1.0,0.0,0.0,0.0023598596453666687,0.0023598596453666687,0.0002973964437842369,2.3312487602233887,167812baed8de5934c96450fdd14e4f35a8214c4a1efc71b41da77ac79ef49c9
5,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
52190 + 22311 = || Compute the sum. Reply with ONLY the integer, nothing else.
20603 + 44631 =",1.0,0.0,0.0,0.0011407695710659027,0.0011407695710659027,0.00014749464753549546,2.3312487602233887,4d15759c192041818e64761d2b5e31510f6247690fce922a50aced583888d42c
6,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
24256 + 33110 = || Compute the sum. Reply with ONLY the integer, nothing else.
29889 + 75524 =",0.625,0.0012046992778778076,20.25585174560547,0.03683850169181824,0.03422711789608002,0.004035977181047201,2.3312487602233887,31cfa1133682851736352b4272792d929c14dbdb3d664e182189cc4f5fb0d04d
7,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
72167 + 92761 = || Compute the sum. Reply with ONLY the integer, nothing else.
16909 + 80954 =",0.375,0.0001750737428665161,10.278072357177734,0.16866350173950195,0.16866350173950195,0.01519724726676941,2.3312487602233887,7c8f6e0cd89fd56eb6a3047cb30a09f0377d9cb7abb1788a6959f99fff9b85c9
8,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
73236 + 99771 = || Compute the sum. Reply with ONLY the integer, nothing else.
37613 + 28038 =",0.5,0.0,0.0,0.00450475886464119,0.00450475886464119,0.0004319775616750121,2.3312487602233887,f39b149398d687bad931eb43d719d13062e1dc711dfd1cd52e51c5d88f6bfb5d
9,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
47432 + 28840 = || Compute the sum. Reply with ONLY the integer, nothing else.
46684 + 60985 =",0.75,-0.0025422796607017517,12.011602401733398,0.0758056640625,0.06658538430929184,0.004047157242894173,2.3312487602233887,5eafb04301f33ed1b18ecc6028a5237faa6202b4e3c38c13767750ec5d5b6999
10,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
78210 + 16132 = || Compute the sum. Reply with ONLY the integer, nothing else.
56243 + 97830 =",0.5,0.0,0.0,0.0017685014754533768,0.0017685014754533768,0.00017069194291252643,2.3312487602233887,a36e726beccb1f1e282c318edec2a6978af7d8562f12df1792e0329b8f477d4d
11,0,5,"Compute the sum. Reply with ONLY the integer, nothing else.
29835 + 91280 = || Compute the sum. Reply with ONLY the integer, nothing else.
57002 + 74770 =",0.875,0.001303069293498993,7.691467761993408,0.04488253593444824,0.021293018013238907,0.0009638339979574084,2.3312487602233887,daf5f9b22a3b0456c95dab824534160b12d401b4859ae8798eb18c91c84355f3
12,1,6,"Compute the sum. Reply with ONLY the integer, nothing else.
623163 + 258835 = || Compute the sum. Reply with ONLY the integer, nothing else.
741498 + 939692 =",0.0,0.0,0.0,0.04599219560623169,0.04599219560623169,0.004314320627599955,2.393519878387451,d75250d766f686ced72353c7cc39f693f3195a7c29be88332c79b744881a4357
13,1,6,"Compute the sum. Reply with ONLY the integer, nothing else.
780935 + 252829 = || Compute the sum. Reply with ONLY the integer, nothing else.
408699 + 205861 =",0.625,0.0007215365767478943,25.84201431274414,0.011280208826065063,0.011280208826065063,0.0010298769921064377,2.393519878387451,81716f4bf4cbbb4df332b48dd33548606ad0834dd15d69394cbe8ad174800095
14,1,6,"Compute the sum. Reply with ONLY the integer, nothing else.
537594 + 497555 = || Compute the sum. Reply with ONLY the integer, nothing else.
938209 + 975474 =",0.5,0.0,0.0,0.006386518478393555,0.006386518478393555,0.00044873784645460546,2.393519878387451,4bffc01f7e822648b401b2bc9c593f0032e2a04b69b46560c89d6936625fe187
15,1,6,"Compute the sum. Reply with ONLY the integer, nothing else.
875842 + 235002 = || Compute the sum. Reply with ONLY the integer, nothing else.
474921 + 828328 =",0.25,-0.010529235005378723,14.502191543579102,0.18418121337890625,0.15482161939144135,0.017241865396499634,2.393519878387451,81bc6741944df2b263fbf21eaa3aa424e547705e4e7e36f8b0547dc7805b6020
16,1,6,"Compute the sum. Reply with ONLY the integer, nothing else.
696759 + 111004 = || Compute the sum. Reply with ONLY the integer, nothing else.
488432 + 425036 =",0.875,9.879469871520996e-06,14.456158638000488,0.0003630686551332474,0.00031396251870319247,3.45055123034399e-05,2.393519878387451,b6984eeed094a6e369f65203a0031be9b7f9bc6c2456d27bfa3a71857c890938
17,1,6,"Compute the sum. Reply with ONLY the integer, nothing else.
715947 + 343346 = || Compute the sum. Reply with ONLY the integer, nothing else.
772091 + 539282 =",0.5,0.0,0.0,0.0014739632606506348,0.0014739632606506348,0.00011992906365776435,2.393519878387451,50d54ce067c907b2387e0f53edef42054ea42e5d3b214bdb87da8e451e2a923b
18,1,6,"Compute the sum. Reply with ONLY the integer, nothing else.
689328 + 846317 = || Compute the sum. Reply with ONLY the integer, nothing else.
297526 + 513112 =",1.0,0.0,0.0,0.00045026279985904694,0.00045026279985904694,6.111563561717048e-05,2.393519878387451,ae05667a1691ae3c2282dd1296d7f9afa369adfa273e809a051f33362cd4fa4a
19,1,6,"Compute the sum. Reply with ONLY the integer, nothing else.
943308 + 800287 = || Compute the sum. Reply with ONLY the integer, nothing else.
766149 + 466298 =",0.625,0.0007294416427612305,6.841799259185791,0.01967930793762207,0.014570889994502068,0.0009195214370265603,2.393519878387451,7e9ec9a2dabd193016c80876526fa6231b30769254509f1f4a75c9f8b81c7953
20,1,6,"Compute the sum. Reply with ONLY the integer, nothing else.
610696 + 958131 = || Compute the sum. Reply with ONLY the integer, nothing else.
741944 + 962267 =",1.0,0.0,0.0,0.0011650286614894867,0.0011650286614894867,0.00015923615137580782,2.393519878387451,f4d92b5b01e5b9e93ad9b41f6df64ba1ad63b7f06efb534613dd22f64bb07f47
