step,curriculum_stage,operand_digits,prompt,reward_mean,loss,grad_norm,parity_max,parity_mean,peak_vram_gib,rollout_sha256
0,0,4,"Compute the sum. Reply with ONLY the integer, nothing else.
4013 + 6816 =",1.0,0.0,0.0,6.218580529093742e-05,2.0241848687874153e-05,1.5809440612792969,08ba0ac8db7381e3089be1aaa301d3257767bc8fd881d3923f2fd16afc5b79ec
1,0,4,"Compute the sum. Reply with ONLY the integer, nothing else.
4077 + 8406 =",1.0,0.0,0.0,0.0011458024382591248,0.00021147826919332147,1.655407428741455,c6b01ba895ee94d700efcc2136039d59c09d33133107b46be54b2f7340c22cb7
2,0,4,"Compute the sum. Reply with ONLY the integer, nothing else.
1220 + 8338 =",1.0,0.0,0.0,1.5342957340180874e-06,1.0351319588153274e-06,1.655407428741455,52cb67a73542d73c51dbcb36b6e54960c041033f9011056cb5615a55db104fed
3,0,4,"Compute the sum. Reply with ONLY the integer, nothing else.
5375 + 1341 =",1.0,0.0,0.0,0.00019883224740624428,4.111013186047785e-05,1.655407428741455,53fdfb87f513ac81923cfb7a534ac2f6ef3ef91929674de893d2da651fdcf060
4,0,4,"Compute the sum. Reply with ONLY the integer, nothing else.
3301 + 5128 =",1.0,0.0,0.0,6.311119068413973e-05,2.1861251298105344e-05,1.655407428741455,eac8597e551e177b5ea493a660bacfb7c609276e295e0c9103253bed392ccc3b
5,0,4,"Compute the sum. Reply with ONLY the integer, nothing else.
8150 + 5460 =",1.0,0.0,0.0,5.2478164434432983e-05,1.0072924851556309e-05,1.655407428741455,709318c6fcf6a269c2cc612fb7be40ffdb266a99670325d722cd5f1084cd646a
6,0,4,"Compute the sum. Reply with ONLY the integer, nothing else.
8879 + 5346 =",1.0,0.0,0.0,5.826540291309357e-05,1.0815831046784297e-05,1.655407428741455,5ec05b4111678d1b986291fc828d4f92dc2fbabd3d01fd9c2a5b1edd61cf7233
7,0,4,"Compute the sum. Reply with ONLY the integer, nothing else.
4897 + 6273 =",1.0,0.0,0.0,4.06140461564064e-05,1.1655974049062934e-05,1.655407428741455,9e91dfc11d6e521453a648b3cfd0652a9e2d9cd13746f56b4e087b38de8a811a
8,1,5,"Compute the sum. Reply with ONLY the integer, nothing else.
75395 + 29854 =",0.0,0.0,0.0,0.027556657791137695,0.004250398837029934,1.6875157356262207,6190e66e3fee52c0a8f7928720aecc5c0eefa7ee3986d3c96a99bc6345da4293
9,1,5,"Compute the sum. Reply with ONLY the integer, nothing else.
90187 + 95116 =",0.0,0.0,0.0,0.05043017864227295,0.005745381582528353,1.6875157356262207,4ed0658c4305842aa9fdeeda59256fc32f345c3354f32f56ebfc5e8722671959
10,1,5,"Compute the sum. Reply with ONLY the integer, nothing else.
29103 + 48587 =",0.25,3.6850571632385254e-05,26.289560317993164,0.013382196426391602,0.0014748964458703995,1.6875157356262207,c913f49cbb78a1e112633bf84dd806b37c7c313dbf09d48554e5f3c0d85405a3
11,1,5,"Compute the sum. Reply with ONLY the integer, nothing else.
23232 + 64699 =",0.0,0.0,0.0,0.017116308212280273,0.0024229325354099274,1.6875157356262207,08e4f37e432c720fcc2efe0a7c342fb70e38a36c36624ce2cad0c8c0c2561640
12,1,5,"Compute the sum. Reply with ONLY the integer, nothing else.
59694 + 26875 =",0.0,0.0,0.0,0.014025002717971802,0.0029472154565155506,1.6875157356262207,11865d158c99358e46df5a213d08c23e454da959255419666808a02b32202cf1
13,1,5,"Compute the sum. Reply with ONLY the integer, nothing else.
56865 + 84594 =",1.0,0.0,0.0,0.00032119639217853546,9.355168731417507e-05,1.6875157356262207,dd3b6e625a4e0e3e656150610771ace2f02f328198728a61c8390d189226fa5d
14,1,5,"Compute the sum. Reply with ONLY the integer, nothing else.
11375 + 58554 =",0.0,0.0,0.0,0.012270689010620117,0.0021779981907457113,1.687530517578125,b6849a847865e5eec512a1086dc2741dd051b0ff2d39524501c7053ba353f7e9
