step,curriculum_stage,operand_digits,prompt,reward_mean,loss,grad_norm,parity_max,parity_p99,parity_mean,parity_tail_tokens,active_completion_tokens,peak_vram_gib,rollout_sha256
0,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8067664 + 6958390 = || Compute the sum. Reply with ONLY the integer, nothing else.
8521021 + 7935883 =",0.5,0.0,0.0,0.015552997589111328,0.012153969146311283,0.00071759894490242,0,72,4.393625259399414,b5627603920057b749ec9c79608f65def62944637bd9532c00d497567aeaa7bd
1,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2939987 + 9983560 = || Compute the sum. Reply with ONLY the integer, nothing else.
7309787 + 3656762 =",0.875,2.9802322387695312e-08,3.8553035259246826,0.021326065063476562,0.013230584561824799,0.0008889826131053269,0,72,4.540110111236572,25a700a4513589b1847d692774241c7c9709dd040d566f0a82adf9d21ec7d146
2,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
6328022 + 4673907 = || Compute the sum. Reply with ONLY the integer, nothing else.
9869290 + 5115177 =",0.5,0.0,0.0,0.008819580078125,0.008819580078125,0.0006254462641663849,0,72,4.540110111236572,61072fdc9b6e12cbd5c43a2065f5da52af125f1a7c60989f9e174723e8039406
3,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5033388 + 7557746 = || Compute the sum. Reply with ONLY the integer, nothing else.
8417179 + 5818267 =",1.0,0.0,0.0,7.350929081439972e-06,7.350929081439972e-06,1.2538331475298037e-06,0,72,4.540110111236572,8e73729c7bc4b3bc7c6f7a5ec18baa8a3efac2afa621ffbbab9d405abac2a203
4,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7550787 + 7930273 = || Compute the sum. Reply with ONLY the integer, nothing else.
5676910 + 6805008 =",0.0,0.0,0.0,0.0013603800907731056,0.0013603800907731056,0.00011882095714099705,0,72,4.540110111236572,a3f7047bd4c0834ab918acaeaa1bf1597841362363577b82d88d12dc2a26f943
5,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
9064003 + 4305870 = || Compute the sum. Reply with ONLY the integer, nothing else.
7233789 + 1331218 =",0.875,7.450580596923828e-09,4.603175640106201,0.0392153263092041,0.03901053965091705,0.002421912970021367,0,68,4.540144920349121,6c87ccb6d139ab1d317006bee51b66f8b918bafbd7bd227b88a626dd7ae04cd9
6,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8003243 + 2885715 = || Compute the sum. Reply with ONLY the integer, nothing else.
8750947 + 3912621 =",0.0,0.0,0.0,0.00039141997694969177,0.00039141997694969177,3.139384352834895e-05,0,72,4.540144920349121,25b14bac70af30cf62e6151752adb256a637c0224fe0caae8113bf87ad292a06
7,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
1913282 + 9896487 = || Compute the sum. Reply with ONLY the integer, nothing else.
2433759 + 1770981 =",0.5,0.0,0.0,0.03429269790649414,0.022343063727021217,0.001994239166378975,0,70,4.577901840209961,a3dee2fcf7eedd0d270ad18ddb0d4e43abfd0498ea72cce9beb8eda81fb052ef
8,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7309028 + 2682964 = || Compute the sum. Reply with ONLY the integer, nothing else.
3922014 + 5667547 =",0.125,-2.9802322387695312e-08,6.832043170928955,0.014078378677368164,0.009711611084640026,0.0009304500999860466,0,67,4.577901840209961,a9132140e029b71efd0dea6ff13d745fb66dfcaf7f9ff256104423c388604c02
9,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
6391816 + 4747160 = || Compute the sum. Reply with ONLY the integer, nothing else.
6972257 + 9418889 =",1.0,0.0,0.0,0.0015556570142507553,0.0015556570142507553,8.737315511098132e-05,0,72,4.577901840209961,9972131c81ca5ed6aa456403f2b223ab8a476cbec743d35837e5a35c90ff7353
10,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5952042 + 9379983 = || Compute the sum. Reply with ONLY the integer, nothing else.
5333303 + 7617178 =",0.625,-2.9802322387695312e-08,7.254748344421387,0.024883508682250977,0.0180362556129694,0.0009074023109860718,0,72,4.577901840209961,b876710a7c418805cb00e62729e0241d0006aa6c2f27055fcc063744d6e52188
