step,reward_mean,loss,grad_norm,parity_max,parity_mean,peak_vram_gib,rollout_sha256
0,0.75,-0.002448171377182007,37.95232391357422,0.03736984729766846,0.0029011245351284742,1.6437559127807617,a691dba8569b1526adb00407e93f3a18161da9d75b9bd3232ad8d872cdfd4262
1,1.0,0.0,0.0,0.005132570862770081,0.000859576859511435,1.71821928024292,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
2,0.75,0.0038171708583831787,16.613618850708008,0.07370996475219727,0.003230149857699871,1.71821928024292,af87e00d750418e2bf1db86ecaff1c868c0221ec8ca52ac8b7ebebad3bf3d0e3
3,0.75,0.0014893114566802979,11.196847915649414,0.027001380920410156,0.0013264968292787671,1.71821928024292,6cd3c3434db32e9eabbbcabc0944aab213e83355de9097caa697fd991bf6d8e5
4,1.0,0.0,0.0,0.0012965872883796692,0.0002112547808792442,1.71821928024292,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
5,1.0,0.0,0.0,0.0015991441905498505,0.00023427206906490028,1.71821928024292,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
6,0.75,-0.002150207757949829,6.571662902832031,0.05800485610961914,0.005607263650745153,1.8751087188720703,5deca29e8d5976c5c5d3f4cbd32fa9bddd0b2baf9d1cc93ab7e746eac502a0d7
7,0.75,-0.0021487772464752197,10.945136070251465,0.04585981369018555,0.0015573407290503383,1.8751087188720703,74ec64fb1fc25feaa57ac4aa570c240b4b9ad52ec54742b88b25879427fbb674
8,1.0,0.0,0.0,0.00013596867211163044,3.6909048503730446e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
9,1.0,0.0,0.0,6.785942241549492e-05,2.296251113875769e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
10,1.0,0.0,0.0,6.064365152269602e-05,1.6929150660871528e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
11,1.0,0.0,0.0,9.784754365682602e-05,3.0086470360402018e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
12,1.0,0.0,0.0,5.887501174584031e-05,2.1329726223484613e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
13,1.0,0.0,0.0,5.854328628629446e-05,1.2118183803977445e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
14,1.0,0.0,0.0,2.8577225748449564e-05,1.4511333574773744e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
15,1.0,0.0,0.0,3.347534220665693e-05,1.131993303715717e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
16,1.0,0.0,0.0,1.5343655832111835e-05,6.050460797268897e-06,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
17,1.0,0.0,0.0,4.783831536769867e-05,1.3389761079452e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
18,1.0,0.0,0.0,2.7031172066926956e-05,9.796594895306043e-06,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
19,1.0,0.0,0.0,1.4463264960795641e-05,5.27070187672507e-06,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
20,1.0,0.0,0.0,3.2238312996923923e-05,8.564247764297761e-06,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
21,1.0,0.0,0.0,1.8008417100645602e-05,9.707509889267385e-06,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
22,1.0,0.0,0.0,1.8188846297562122e-05,5.4080028348835185e-06,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
23,1.0,0.0,0.0,6.306392606347799e-05,1.1480125976959243e-05,1.8751087188720703,1635c3a56e71be363bb2576828843b5115c1a6b9dd481cb66026238dbbeb3343
